text,intent,response
Can you help me? i have a network connection problem,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need help because i received a suspicious email,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
Can you help me? i need access to the company system,account_access,Verify your login details and contact the IT support team to check or restore your account access.
Email is showing an error urgently,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
I need help because my mailbox is not loading,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
Can you help me? i want to install a company-approved tool,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, vpn is disconnected",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
VPN is disconnected please,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I need help because how do i download approved software?,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
How can I unlock my account? urgently,account_access,Verify your login details and contact the IT support team to check or restore your account access.
My account is locked please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
"Please help, how can i unlock my account?",account_access,Verify your login details and contact the IT support team to check or restore your account access.
Can you help me? i cannot sign in,account_access,Verify your login details and contact the IT support team to check or restore your account access.
The monitor is not displaying anything urgently,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
What should I do with a suspicious email? urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
How can I connect to the printer? please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, the laptop battery is not charging",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need VPN access,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
"Please help, my mailbox is not loading",email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
Can you help me? my document is not printing,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, my vpn connection failed",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
"Please help, my computer is very slow",slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Please help me change my password urgently,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Can you help me? the computer performance has become slow,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
"Please help, the laptop battery is not charging",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Can you help me? i need to report a cyber security issue,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
How can I unlock my account? please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because i need vpn access,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
My VPN connection failed urgently,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
Please install an application on my laptop please,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
The office printer is offline please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
I need a new software application please,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, my laptop screen is damaged",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I cannot send an email urgently,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
"Please help, i need a new software application",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I clicked a suspicious link urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need help because my account is locked,account_access,Verify your login details and contact the IT support team to check or restore your account access.
"Please help, i cannot remember my login password",password_reset,Use the company password reset portal and follow the instructions to create a new password.
"Please help, how do i download approved software?",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
My computer is very slow,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
How do I report a security problem? urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
My password is not working,password_reset,Use the company password reset portal and follow the instructions to create a new password.
I need help because i received a suspicious email,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
IT support needed: my laptop screen is damaged,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because how do i connect to vpn?,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
"Please help, i forgot my company login password",password_reset,Use the company password reset portal and follow the instructions to create a new password.
I need help because please help me connect to remote vpn,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
Please install an application on my laptop urgently,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
Can you help me? what should i do with a suspicious email?,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
WiFi keeps disconnecting,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need help because my computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I need to report a cyber security issue please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need VPN access urgently,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
VPN is not connecting please,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I received a suspicious email,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
My document is not printing urgently,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
I need help because the office internet is down,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Applications are taking too long to open please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
"Please help, the monitor is not displaying anything",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
IT support needed: the office printer is offline,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
My keyboard is not working please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
My laptop screen is damaged,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Can you help me? i cannot print a document,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
My document is not printing please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, i need a new software application",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because i cannot access the vpn,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I want to install a company-approved tool,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, my laptop screen is damaged",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because i need to report a cyber security issue,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
"Please help, why is my laptop slow?",slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
My computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I need to reset my account password please,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Can you help me? my password is not working,password_reset,Use the company password reset portal and follow the instructions to create a new password.
How can I connect to the printer? urgently,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
IT support needed: my system is freezing,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Can you help me? the computer performance has become slow,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
IT support needed: i forgot my company login password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
My user account is disabled,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because how do i recover my password?,password_reset,Use the company password reset portal and follow the instructions to create a new password.
"Please help, i cannot remember my login password",password_reset,Use the company password reset portal and follow the instructions to create a new password.
Applications are taking too long to open,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Can you help me? i clicked a suspicious link,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
How can I unlock my account? please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I cannot connect to office WiFi urgently,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Please help me change my password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Can you help me? how can i unlock my account?,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because how can i reset my password?,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Please install an application on my laptop please,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
IT support needed: my document is not printing,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
How can I connect to the printer? please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, i need to install python",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
My system is freezing please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
My keyboard keys are not responding please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
The laptop battery is not charging please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
My print job is stuck,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
I cannot access the VPN,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
IT support needed: my laptop screen is damaged,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Please help me connect to remote VPN,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I need help because my print job is stuck,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, i cannot send an email",email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
"Please help, i need a new software application",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, my print job is stuck",printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
IT support needed: i think this email is phishing,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I found a possible security threat please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
"Please help, how do i download approved software?",software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because please install an application on my laptop,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need a new software application please,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, my user account is disabled",account_access,Verify your login details and contact the IT support team to check or restore your account access.
What should I do with a suspicious email? please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need to install Python urgently,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because my user account is disabled,account_access,Verify your login details and contact the IT support team to check or restore your account access.
Can you help me? i need a new software application,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
Can you help me? my vpn connection failed,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
Why is my laptop slow? please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I need help because the laptop battery is not charging,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
IT support needed: my computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
My WiFi is not working please,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
IT support needed: please help with the printer,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, i cannot access the vpn",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
IT support needed: my keyboard keys are not responding,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because i want to install a company-approved tool,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because please help me access the application,account_access,Verify your login details and contact the IT support team to check or restore your account access.
Can you help me? the internet connection is not working,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need help because my laptop is running slowly,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
The office printer is offline please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
My account is locked please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
My keyboard keys are not responding urgently,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
"Please help, i need vpn access",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I need help because my laptop cannot connect to wifi,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need help because i have a hardware problem,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
IT support needed: i have a hardware problem,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need to report a cyber security issue urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need help because please install an application on my laptop,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, i cannot sign in",account_access,Verify your login details and contact the IT support team to check or restore your account access.
I forgot my password please,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Someone sent me a suspicious attachment,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
My laptop cannot connect to WiFi please,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Can you help me? i think this email is phishing,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
"Please help, please help me change my password",password_reset,Use the company password reset portal and follow the instructions to create a new password.
My computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Can IT help me install software?,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
My mailbox is not loading urgently,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
Can you help me? the mouse is not responding,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Can IT help me install software? urgently,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
Can you help me? i want to install a company-approved tool,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
My keyboard is not working please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Why is my laptop slow? please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
How can I unlock my account? please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because i forgot my password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
My laptop screen is damaged,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because how can i unlock my account?,account_access,Verify your login details and contact the IT support team to check or restore your account access.
Can you help me? someone sent me a suspicious attachment,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
Why is my wireless connection slow? urgently,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Please help me access the application,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I forgot my company login password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
IT support needed: i need to reset my account password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
I need help because i cannot connect to office wifi,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Can you help me? my computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I need to report a cyber security issue urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need help because i am not receiving emails,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
Someone sent me a suspicious attachment urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
Can you help me? can it help me install software?,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
Can you help me? i think this email is phishing,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
IT support needed: my system is freezing,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
The office printer is offline urgently,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, vpn is disconnected",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I need help because please install an application on my laptop,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
"Please help, i have a hardware problem",hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because the printer is showing an error,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
IT support needed: i want to install a company-approved tool,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because i need a new software application,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I cannot access my company email please,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
My computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I need help because my laptop is running slowly,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
The office internet is down please,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
IT support needed: my system is freezing,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
What should I do with a suspicious email? please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
Can you help me? please help with my email problem,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
I need help because the internet connection is not working,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
"Please help, i cannot connect to office wifi",wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need a new software application urgently,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because the internet connection is not working,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I think this email is phishing please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need help because vpn is not connecting,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
My Outlook is not working,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
My user account is disabled urgently,account_access,Verify your login details and contact the IT support team to check or restore your account access.
IT support needed: why is my wireless connection slow?,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Can you help me? how do i install microsoft office?,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
How do I report a security problem? please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
IT support needed: i cannot print a document,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
My computer hardware is not working please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because how do i report a security problem?,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
How can I unlock my account? please,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because my print job is stuck,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
Applications are taking too long to open urgently,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I received a suspicious email urgently,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
My keyboard keys are not responding please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
How do I connect to VPN? urgently,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
The laptop battery is not charging please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I am not receiving emails urgently,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
"Please help, the computer performance has become slow",slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
I found a possible security threat,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
"Please help, my computer is very slow",slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Can you help me? my vpn connection failed,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
IT support needed: my vpn connection failed,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
Can you help me? my email is not working,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
IT support needed: my mailbox is not loading,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
What should I do with a suspicious email?,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I clicked a suspicious link please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
I need help because my wifi is not working,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Please help me change my password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
